,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,0.0,6,-66.0,-57.0,0.027,0.037,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717037.2113667
1,sta2,0.5,0,-77.0,-68.0,0.02,0.022,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705717087.6848772
2,sta1,0.0,39,-72.0,-68.0,0.034,0.023,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717103.128408
3,sta4,0.0,39,-76.0,-67.0,0.024,0.036,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705717112.357414
4,sta2,0.2,39,-78.0,-71.0,0.032,0.037,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705717121.6598141
5,sta3,0.0,39,-83.0,-72.0,0.024,0.034,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705717180.4154859
6,sta2,0.14285714285714285,39,-73.0,-72.0,0.027,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717204.052581
7,sta1,0.0,6,-74.0,-71.0,0.024,0.032,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717219.538162
8,sta2,0.1111111111111111,6,-70.0,-67.0,0.03,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717259.7252579
9,sta1,0.0,6,-70.0,-67.0,0.03,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717275.2618597
10,sta2,0.09090909090909091,39,-78.0,-71.0,0.04,0.049,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705717290.8527045
11,sta1,0.0,39,-74.0,-67.0,0.024,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705717310.3834572
12,sta1,0.15384615384615385,0,-75.0,-73.0,0.039,0.035,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705717338.2319646
13,sta2,0.07142857142857142,6,-78.0,-72.0,0.03,0.026,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705717378.3853579
14,sta4,0.0,39,-79.0,-73.0,0.04,0.038,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705717400.0442336
15,sta3,0.1875,0,-55.0,-61.0,0.034,0.023,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717417.4618914
16,sta3,0.17647058823529413,39,-73.0,-70.0,0.026,0.042,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705717445.3318515
17,sta4,0.2222222222222222,0,-79.0,-59.0,0.02,0.024,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705717460.7348232
18,sta2,0.2631578947368421,0,-72.0,-62.0,0.024,0.03,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705717470.1013308
19,sta1,0.1,39,-79.0,-73.0,0.024,0.035,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705717485.466116
20,sta2,0.23809523809523808,39,-74.0,-69.0,0.021,0.024,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705717502.9474347
21,sta3,0.13636363636363635,6,-80.0,-67.0,0.031,0.029,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705717537.0191145
22,sta4,0.2608695652173913,0,-78.0,-61.0,12.069,0.039,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705717552.5502002
23,sta4,0.25,6,-77.0,-66.0,0.045,0.028,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705717580.2260005
24,sta1,0.28,0,-83.0,-72.0,0.035,0.031,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705717601.683592
25,sta2,0.19230769230769232,6,-70.0,-61.0,0.03,0.027,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705717617.2195117
26,sta3,0.2962962962962963,0,-76.0,-72.0,0.024,0.029,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705717628.567951
27,sta2,0.17857142857142858,39,-74.0,-68.0,0.022,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705717650.2564497
