,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,1.0,0,-66.0,-57.0,0.045,0.031,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705706198.3537738
1,sta2,1.0,0,-78.0,-67.0,0.023,0.028,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705706246.7235086
2,sta1,0.0,6,-73.0,-68.0,0.033,0.081,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705706260.1832187
3,sta4,0.75,0,-75.0,-66.0,0.026,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706267.4887373
4,sta2,0.4,6,-79.0,-71.0,0.028,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705706274.7461934
5,sta3,0.6666666666666666,0,-83.0,-73.0,0.027,0.033,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705706333.718534
6,sta4,0.7142857142857143,0,-73.0,-71.0,0.027,0.021,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705706349.1934183
7,sta2,0.75,0,-73.0,-71.0,0.028,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705706356.4663942
8,sta2,0.7777777777777778,0,-69.0,-66.0,0.022,0.031,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705706407.3120975
9,sta3,0.8,0,-79.0,-73.0,0.042,0.038,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706414.6601334
10,sta1,0.0,6,-68.0,-66.0,0.03,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705706421.915913
11,sta2,0.5833333333333334,6,-80.0,-70.0,0.027,0.03,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705706435.4063976
12,sta1,0.6923076923076923,0,-75.0,-67.0,0.03,0.021,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705706450.9393213
13,sta1,0.7142857142857143,0,-75.0,-73.0,0.033,0.026,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705706476.680214
14,sta2,0.4666666666666667,6,-78.0,-73.0,0.03,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706514.8050983
15,sta3,0.6875,0,-72.0,-73.0,0.031,0.038,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706524.0831952
16,sta4,0.7058823529411765,0,-78.0,-71.0,0.031,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706537.482284
17,sta3,0.6111111111111112,6,-77.0,-61.0,0.037,0.028,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705706553.0044322
18,sta2,0.3684210526315789,6,-79.0,-72.0,0.029,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706572.4983745
19,sta3,0.65,0,-76.0,-66.0,0.023,0.036,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705706579.7633317
20,sta1,0.6666666666666666,0,-79.0,-72.0,0.024,0.033,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706611.837688
21,sta2,0.6818181818181818,0,-76.0,-65.0,0.027,0.028,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705706627.3463018
22,sta3,0.5652173913043478,6,-79.0,-65.0,0.03,0.032,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705706659.5077841
23,sta4,0.6666666666666666,0,-79.0,-62.0,0.033,0.03,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705706673.1223884
24,sta2,0.68,0,-80.0,-80.0,0.023,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1705706680.38102
25,sta4,0.6153846153846154,6,-79.0,-66.0,0.041,0.026,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705706700.0684052
26,sta1,0.6666666666666666,0,-82.0,-71.0,0.031,0.03,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705706719.6360695
27,sta2,0.6785714285714286,0,-69.0,-58.0,0.034,0.034,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705706733.1333938
28,sta3,0.6896551724137931,0,-78.0,-73.0,0.092,0.036,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705706742.381904
29,sta2,0.6333333333333333,6,-76.0,-65.0,0.028,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705706762.102514
30,sta4,0.6774193548387096,0,-76.0,-71.0,0.024,0.022,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705706806.5178795
31,sta3,0.625,6,-74.0,-67.0,0.1,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706820.0884085
32,sta4,0.6363636363636364,6,-76.0,-75.0,0.029,0.02,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705706833.6514707
33,sta1,0.6470588235294118,0,-78.0,-69.0,0.025,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705706880.0955036
34,sta4,0.6571428571428571,0,-81.0,-72.0,0.032,0.027,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705706887.3886619
35,sta4,0.6388888888888888,6,-75.0,-68.0,0.026,0.024,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705706913.234118
36,sta2,0.6486486486486487,0,-82.0,-71.0,0.024,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705706920.4214525
37,sta1,0.6578947368421053,0,-80.0,-70.0,0.028,0.029,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705706933.794025
38,sta1,0.6666666666666666,0,-79.0,-76.0,0.033,0.032,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705706963.6505063
39,sta4,0.575,1,-80.0,-79.0,0.101,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1705706973.0125144
40,sta3,0.6585365853658537,0,-72.0,-65.0,0.035,0.023,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705707013.1989856
41,sta4,0.6666666666666666,0,-67.0,-59.0,0.037,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707026.6986964
42,sta2,0.6744186046511628,0,-80.0,-63.0,0.026,0.023,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705707033.948749
43,sta2,0.6818181818181818,0,-68.0,-65.0,0.022,0.042,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707140.4567957
44,sta1,0.6888888888888889,0,-74.0,-67.0,0.03,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707153.8505847
45,sta4,0.6956521739130435,0,-74.0,-70.0,0.025,0.02,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707161.011391
46,sta3,0.7021276595744681,0,-78.0,-71.0,0.029,0.028,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707227.9243782
47,sta2,0.7083333333333334,0,-79.0,-55.0,0.03,0.031,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705707247.5430481
48,sta3,0.7142857142857143,0,-78.0,-72.0,0.032,0.03,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707279.5283067
49,sta1,0.72,0,-75.0,-69.0,0.03,0.031,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705707311.4683
50,sta4,0.7254901960784313,0,-76.0,-68.0,0.023,0.03,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705707343.736362
51,sta2,0.7307692307692307,0,-80.0,-80.0,0.024,0.024,ap3-wlan1,ap1-wlan1,ap1-wlan1,1705707350.997531
52,sta1,0.6792452830188679,6,-72.0,-71.0,0.028,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705707364.400434
53,sta1,0.7222222222222222,0,-74.0,-69.0,0.03,0.04,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705707396.2770512
54,sta2,0.7272727272727273,0,-78.0,-65.0,0.025,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705707411.857988
55,sta3,0.7321428571428571,0,-73.0,-66.0,0.024,0.102,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705707419.179431
56,sta4,0.6491228070175439,6,-62.0,-62.0,0.048,0.042,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707432.6204743
57,sta3,0.7241379310344828,0,-73.0,-72.0,0.025,0.023,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705707470.590862
58,sta3,0.7288135593220338,0,-80.0,-48.0,0.025,0.023,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705707496.4399202
59,sta2,0.7333333333333333,0,-79.0,-67.0,0.03,0.034,ap3-wlan1,ap5-wlan1,ap5-wlan1,1705707518.0732338
60,sta2,0.7213114754098361,1,-79.0,-78.0,0.028,0.02,ap5-wlan1,ap1-wlan1,ap1-wlan1,1705707545.8551848
61,sta2,0.7258064516129032,0,-71.0,-57.0,0.028,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707598.0705845
62,sta3,0.7301587301587301,0,-82.0,-70.0,0.072,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705707605.386717
63,sta4,0.734375,0,-71.0,-73.0,0.03,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705707645.2882395
64,sta1,0.7384615384615385,0,-76.0,-50.0,0.036,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705707665.1284213
65,sta1,0.7272727272727273,6,-75.0,-74.0,0.025,0.026,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705707692.9338055
66,sta1,0.7313432835820896,0,-78.0,-72.0,0.02,0.02,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705707720.8847392
67,sta2,0.7352941176470589,0,-80.0,-72.0,0.029,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705707734.3350754
68,sta1,0.7391304347826086,0,-79.0,-69.0,0.024,0.023,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705707774.6552193
69,sta4,0.6714285714285714,6,-60.0,-59.0,0.035,0.032,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707782.0723357
70,sta4,0.7323943661971831,0,-74.0,-70.0,0.022,0.028,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705707807.9193769
71,sta2,0.6944444444444444,6,-50.0,-68.0,0.024,0.032,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705707845.9970632
72,sta4,0.7123287671232876,6,-79.0,-66.0,0.023,0.023,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705707892.2805636
73,sta3,0.6216216216216216,39,-68.0,-64.0,0.031,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705707905.707066
74,sta1,0.7066666666666667,0,-81.0,-70.0,0.029,0.028,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705707912.9541652
75,sta2,0.6578947368421053,6,-80.0,-65.0,0.024,0.027,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705707951.1124327
76,sta1,0.6883116883116883,6,-80.0,-64.0,0.024,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705707989.3174095
77,sta4,0.6666666666666666,6,-65.0,-67.0,0.031,0.021,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705708023.5809338
78,sta3,0.5822784810126582,6,-80.0,-77.0,0.035,0.024,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705708037.1006222
79,sta1,0.675,0,-81.0,-65.0,0.035,0.03,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705708069.3354847
80,sta3,0.5679012345679012,6,-82.0,-70.0,0.024,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705708089.0066314
81,sta2,0.6707317073170732,0,-76.0,-66.0,0.026,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705708133.3716328
82,sta3,0.5542168674698795,6,-77.0,-57.0,0.06,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705708140.6199381
83,sta3,0.6666666666666666,0,-76.0,-73.0,0.025,0.024,ap3-wlan1,ap4-wlan1,ap4-wlan1,1705708168.3628266
84,sta4,0.6705882352941176,0,-77.0,-69.0,0.024,0.027,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705708181.7824705
85,sta4,0.6627906976744186,6,-73.0,-68.0,0.029,0.03,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705708259.0459225
86,sta3,0.6666666666666666,0,-68.0,-59.0,0.026,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705708272.4959793
87,sta2,0.6704545454545454,0,-80.0,-80.0,0.024,0.024,ap3-wlan1,ap1-wlan1,ap1-wlan1,1705708292.141748
88,sta3,0.6741573033707865,0,-72.0,-71.0,0.029,0.029,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705708301.4442768
89,sta4,0.6777777777777778,0,-73.0,-71.0,0.027,0.041,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705708314.9237633
90,sta4,0.6813186813186813,0,-79.0,-70.0,0.029,0.022,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705708340.6798706
91,sta2,0.6847826086956522,0,-81.0,-70.0,0.029,0.043,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705708372.7807763
92,sta4,0.6881720430107527,0,-80.0,-80.0,0.026,0.026,ap5-wlan1,ap1-wlan1,ap1-wlan1,1705708392.3583417
93,sta2,0.6702127659574468,1,-79.0,-79.0,0.027,0.027,ap2-wlan1,ap1-wlan1,ap1-wlan1,1705708424.368067
94,sta2,0.6842105263157895,0,-82.0,-71.0,0.027,0.026,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705708450.279336
95,sta2,0.6875,0,-75.0,-72.0,0.024,0.022,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705708500.5524602
96,sta1,0.6907216494845361,0,-78.0,-73.0,0.03,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705708513.970883
97,sta4,0.6938775510204082,0,-74.0,-65.0,0.039,0.036,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705708521.2886755
98,sta3,0.696969696969697,0,-77.0,-70.0,0.051,0.032,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705708608.957044
99,sta1,0.7,0,-72.0,-70.0,0.03,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705708616.188727
100,sta4,0.6732673267326733,6,-82.0,-69.0,0.025,0.023,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705708648.2893422
101,sta3,0.696078431372549,0,-80.0,-57.0,0.032,0.024,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705708661.7734828
